age,name,sex,vowel,stress,word,F1,F2,t
54,SB,F,AH,0,THE,542.3,1628.7,129.766
54,SB,F,AE,1,FAMILY,856.6,1249.1,129.939
54,SB,F,IY,0,FAMILY,548.1,2573.9,130.305
54,SB,F,EH,1,YES,829,1864.5,130.515
54,SB,F,AH,0,HIS,379.1,660.7,130.912
54,SB,F,EH,1,PARENTS,841,1633.4,131.191
54,SB,F,AH,0,PARENTS,445.9,1634.6,131.359
54,SB,F,ER,0,WERE,384.2,1206.6,131.589
54,SB,F,ER,0,FROM,407.1,1000.5,131.719
54,SB,F,AY,1,WHITEFIELD,668.8,1116.2,131.886
54,SB,F,EY,1,THEY,621.5,1812.4,132.301
54,SB,F,AE,1,RAN,631.2,1114.8,132.498
54,SB,F,AH,0,A,537.7,1160.3,132.609
54,SB,F,AH,1,PUB,491.1,901.5,132.819
54,SB,F,IH,1,IN,452.2,2250,132.942
54,SB,F,AY,1,WHITEFIELD,672.9,1175.8,133.208
54,SB,F,AH,1,COUPLE,447.5,960.4,134.17
54,SB,F,AH,0,COUPLE,445.2,1137,134.343
54,SB,F,AH,0,OF,448.7,1299.4,134.403
54,SB,F,AH,1,PUBS,455.2,945.8,134.582
54,SB,F,AH,0,IN,459.7,1532.9,134.812
54,SB,F,AY,1,WHITEFIELD,555.5,1301.1,135.025
54,SB,F,AE,1,AND,659.6,1196.2,136.721
54,SB,F,AY,1,MY,621.8,1197.6,137.304
54,SB,F,AH,1,MUM'S,534.1,889.6,137.917
54,SB,F,EH,1,PARENTS,601.7,937.6,139.854
54,SB,F,AH,0,PARENTS,501.7,1388.2,140.263
54,SB,F,ER,1,WERE,551.2,1244.5,143.489
54,SB,F,AH,1,FROM,639.2,953.3,145.126
54,SB,F,IH,1,SIMISTER,447.4,894.2,146.006
54,SB,F,IH,0,SIMISTER,493.2,2668.8,146.082
54,SB,F,ER,0,SIMISTER,701.8,1452.3,146.379
54,SB,F,IH,1,WHICH,396.8,2259,146.568
54,SB,F,AH,0,IS,419.6,1497.5,146.765
54,SB,F,AO,1,SORT,465.8,1003.9,147.302
54,SB,F,AH,1,OF,844.1,1099.6,147.569
54,SB,F,AO,1,FOUR,441.7,802.9,148.346
54,SB,F,AY,1,MILES,548,1150.5,148.54
54,SB,F,AH,0,MILES,513.7,1312.7,148.639
54,SB,F,AH,0,AWAY,442.5,1033.1,148.846
54,SB,F,EY,1,AWAY,701,1685.5,149.029
54,SB,F,AH,0,ERM,553.1,914.4,154.089
54,SB,F,AH,0,A,772.1,1654.2,155.085
54,SB,F,EH,1,VERY,673.5,1258.4,155.258
54,SB,F,IY,0,VERY,619.8,2634.6,155.368
54,SB,F,AE,1,HAPPY,802.2,1352,155.539
54,SB,F,IY,0,HAPPY,454.7,2140.6,155.742
54,SB,F,AH,1,ONE,752.1,976.8,155.912
54,SB,F,AY,1,I,679.6,1192.7,156.05
54,SB,F,IH,1,THINK,451.9,2243.1,156.309
54,SB,F,AY,1,I,538,1709.4,156.437
54,SB,F,AH,0,WAS,514.8,1291.6,156.519
54,SB,F,EH,1,VERY,665.5,1737.6,156.686
54,SB,F,IY,0,VERY,412.8,2056.5,156.872
54,SB,F,AH,1,LUCKY,549.1,1031.6,156.972
54,SB,F,IY,0,LUCKY,590.5,2278.1,157.239
54,SB,F,AY,1,I,676.4,2127.4,157.324
54,SB,F,AA,1,WAS,516.1,968,157.499
54,SB,F,AH,1,ONE,652,1018.9,158.079
54,SB,F,AH,0,OF,526.5,1323.9,158.159
54,SB,F,AY,1,FIVE,906.9,1300.3,158.461
54,SB,F,IH,1,CHILDREN,507.3,1478.5,158.839
54,SB,F,AH,0,CHILDREN,683.1,1569.3,159.252
54,SB,F,AE,1,AND,634,1602,159.779
54,SB,F,AH,0,ERM,510.3,1596,160.988
54,SB,F,AY,1,I,912.7,1452.4,162.354
54,SB,F,AA,1,WAS,685.2,1058.8,162.467
54,SB,F,EH,1,VERY,634.6,1509.7,162.777
54,SB,F,IY,0,VERY,365.5,2071.7,162.93
54,SB,F,AH,1,LUCKY,463.6,1014.8,163.037
54,SB,F,IY,0,LUCKY,375.6,2535.7,163.2
54,SB,F,AH,0,TO,530,1055,163.33
54,SB,F,AE,1,HAVE,725.8,1014.4,163.527
54,SB,F,AH,0,A,545.9,1618.4,163.694
54,SB,F,AE,1,DAD,827.3,1603.8,163.974
54,SB,F,UW,1,WHO,336.1,723.1,164.658
54,SB,F,EH,0,ENJOYED,565.7,2501.3,165.568
54,SB,F,OY,1,ENJOYED,555.2,1001,165.923
54,SB,F,AH,0,HIS,372.1,673,166.12
54,SB,F,IH,1,CHILDREN,466,971.9,166.4
54,SB,F,AH,0,CHILDREN,442.4,1376.6,166.64
54,SB,F,AH,0,AND,468.3,1390.1,166.721
54,SB,F,EY,1,PLAYED,661.4,1697.5,167.023
54,SB,F,IH,1,WITH,380.1,2231.7,167.284
54,SB,F,AH,0,THEM,493.8,1386.4,167.441
54,SB,F,AH,0,AND,484.1,1596.6,167.554
54,SB,F,UH,1,TOOK,423.3,931.2,168.041
54,SB,F,AH,1,US,417.3,1008.5,168.211
54,SB,F,EY,1,PLACES,665.6,1590.1,168.494
54,SB,F,AH,0,PLACES,418.4,1818.4,168.831
54,SB,F,EH,1,EVERY,746.5,1768.4,169.454
54,SB,F,IY,0,EVERY,531.3,2491.5,169.798
54,SB,F,IH,1,SINGLE,475.6,2366.9,169.967
54,SB,F,AH,0,SINGLE,459.1,963.3,170.11
54,SB,F,AH,1,SUNDAY,552.2,1135.7,170.327
54,SB,F,IY,1,HE,379,2324,170.604
54,SB,F,UH,1,WOULD,419.3,1472.6,170.704
54,SB,F,EY,1,TAKE,628.4,2411.3,170.899
54,SB,F,AH,1,US,424,1387.2,171.138
54,SB,F,AW,1,OUT,798.7,1544.7,171.261
54,SB,F,EH,1,ERR,637.6,1709,172.785
54,SB,F,IH,1,WITH,371.1,2273.6,172.948
54,SB,F,AH,0,THE,404.6,1473.5,173.068
54,SB,F,AO,1,DOG,691.3,985,173.254
54,SB,F,IH,1,IN,482.4,2333.2,173.557
54,SB,F,AH,0,THE,499,1113.7,173.698
54,SB,F,AA,1,CAR,891.4,1302.6,173.944
54,SB,F,AH,0,TO,421.4,1637.9,174.267
54,SB,F,OW,1,GO,519.7,1151.8,174.354
54,SB,F,AO,1,WALKING,488.2,840.8,174.634
54,SB,F,IH,0,WALKING,462.9,1731.1,174.928
54,SB,F,AH,0,AND,461.5,1557.3,175.021
54,SB,F,IH,1,THINGS,535.3,1711.6,175.451
54,SB,F,AH,0,AND,433.2,1250.6,175.728
54,SB,F,AE,1,THAT,811.9,1306.5,175.871
54,SB,F,AH,1,DOESN'T,448.7,1089.4,176.068
54,SB,F,AH,0,DOESN'T,434.5,1076.4,176.188
54,SB,F,AW,1,SOUND,803.4,1284.3,176.389
54,SB,F,EY,1,STRANGE,649,2057.9,177.812
54,SB,F,AH,0,TODAY,431.8,1343.5,178.16
54,SB,F,EY,1,TODAY,736.7,2678.5,178.321
54,SB,F,AH,1,BUT,525.3,1064.2,178.506
54,SB,F,IH,1,IN,516.1,2341.4,178.6
54,SB,F,OW,1,THOSE,693.4,1406.8,178.77
54,SB,F,EY,1,DAYS,683.8,1717.6,179.19
54,SB,F,IY,1,HE,401.7,2341.4,179.771
54,SB,F,AH,0,WAS,410.4,1255.5,179.864
54,SB,F,IY,0,THE,415.9,2437.6,180.004
54,SB,F,OW,1,ONLY,485.9,1196.4,180.056
54,SB,F,IY,0,ONLY,404.2,2413.5,180.224
54,SB,F,AA,1,FATHER,829.3,1116,180.457
54,SB,F,ER,0,FATHER,448.9,1178.8,180.691
54,SB,F,AE,1,THAT,710.5,1267.6,180.797
54,SB,F,AY,1,I,812.1,1182.2,180.855
54,SB,F,UW,1,KNEW,426,2523.3,181.151
54,SB,F,AH,0,THAT,498.7,1507.4,181.481
54,SB,F,IH,1,DID,445.4,1712.1,181.911
54,SB,F,AE,1,THAT,778.3,2559.4,182.114
54,SB,F,EH,1,ANYWAY,660.8,1521.6,182.241
54,SB,F,IY,0,ANYWAY,443.2,2367.3,182.414
54,SB,F,EH,1,LET'S,506.1,1476.5,182.744
54,SB,F,UH,1,PUT,515.1,1372.9,182.954
54,SB,F,AH,0,IT,481.1,1439.3,183.014
54,SB,F,AE,1,THAT,829.9,1466,183.156
54,SB,F,EY,1,WAY,749.9,1471.6,183.385
54,SB,F,AH,0,ERM,600.3,916.9,184.418
54,SB,F,OW,1,SO,593.5,1407.1,185.597
54,SB,F,AE,1,YEAH,780.8,1738.7,186.044
54,SB,F,UH,1,LOOKING,435.8,1111.3,188.228
54,SB,F,IH,0,LOOKING,391.2,2595,188.382
54,SB,F,AE,1,BACK,883,1349.8,188.621
54,SB,F,AW,1,NOW,887.3,1811.2,188.981
54,SB,F,AY,1,I,785.2,1302.8,189.413
54,SB,F,AE,1,HAD,818.6,1565,189.571
54,SB,F,AH,0,A,470.4,1501.6,189.651
54,SB,F,EH,1,VERY,642.7,1641.7,189.775
54,SB,F,IY,0,VERY,506.3,2266,189.888
54,SB,F,AE,1,HAPPY,890.5,2052.2,190.036
54,SB,F,IY,0,HAPPY,400.5,2415.5,190.165
54,SB,F,AY,1,CHILDHOOD,887.8,1568.2,190.381
54,SB,F,AE,1,AT,521.5,1549.4,190.782
54,SB,F,AH,0,THE,441.5,1550.9,190.938
54,SB,F,AY,1,TIME,1002.7,1512.2,191.232
54,SB,F,EY,1,MAYBE,625.4,2409.9,192.436
54,SB,F,IY,0,MAYBE,440.4,2383,192.776
54,SB,F,OW,1,Y'KNOW,633.1,1082.6,193.41
54,SB,F,AY,1,I'M,517.1,992.9,193.452
54,SB,F,UH,1,LOOKING,412.7,979,193.573
54,SB,F,IH,0,LOOKING,430.8,2287.3,193.717
54,SB,F,AE,1,BACK,727.7,1147.8,193.846
54,SB,F,IH,1,WITH,436.5,2071.1,194.014
54,SB,F,OW,1,ROSE,550.6,1220.6,194.221
54,SB,F,AH,1,COLOURED,427.9,956.7,194.607
54,SB,F,ER,0,COLOURED,429.2,1284.3,194.697
54,SB,F,AE,1,GLASSES,767.7,1223.8,194.881
54,SB,F,AH,0,GLASSES,395,1573.7,195.087
54,SB,F,IH,0,BECAUSE,407.7,2337,195.287
54,SB,F,AH,1,BECAUSE,446.8,1541.8,195.443
54,SB,F,IY,1,WE,372.8,1880.8,196.154
54,SB,F,IH,1,DIDN'T,454.9,2254.4,196.234
54,SB,F,AE,1,HAVE,827.4,1617.4,196.384
54,SB,F,AH,1,MUCH,471,1081.5,196.566
54,SB,F,AH,1,MONEY,479,1054,196.88
54,SB,F,IY,0,MONEY,525.3,1994,197.07
54,SB,F,AH,0,ERM,623.9,1708.4,198.148
54,SB,F,UW,1,USED,359.6,699.8,199.378
54,SB,F,IH,0,TO,423.8,1742.6,199.577
54,SB,F,AY,1,FIGHT,782.2,1104.6,199.755
54,SB,F,IH,1,WITH,417.3,1982.7,199.997
54,SB,F,AY,1,MY,442,1083.4,200.122
54,SB,F,AH,1,BROTHERS,430.7,1112.3,200.27
54,SB,F,ER,0,BROTHERS,398,954,200.357
54,SB,F,AH,0,AND,412.9,1208.2,200.504
54,SB,F,IH,1,SISTERS,446.2,1757.7,200.714
54,SB,F,ER,0,SISTERS,430.2,1299.8,200.981
54,SB,F,AH,1,BUT,488.1,1122.1,201.228
54,SB,F,AE,1,THAT'S,703.1,1252.6,201.401
54,SB,F,AH,1,WHAT,706.4,1034.5,202.16
54,SB,F,AE,1,HAPPENS,827.2,1353.6,202.304
54,SB,F,AH,0,HAPPENS,489.9,1082.1,202.39
54,SB,F,EH,1,WHEN,544.4,1349.2,202.55
54,SB,F,EH,1,THERE'S,502.6,1956.8,202.64
54,SB,F,AY,1,FIVE,845,1267,202.936
